"ID","date","PrCredit"
"AT",1999-01-01,NA
"AU",1999-01-01,0.0511473709913548
"BE",1999-01-01,0.0434999943924724
"BR",1999-01-01,0.136091804208214
"CA",1999-01-01,0.0095498746318429
"CH",1999-01-01,0.0392025527871235
"CL",1999-01-01,0.147488814327822
"CN",1999-01-01,0.202906189326043
"CO",1999-01-01,0.173667224978723
"CZ",1999-01-01,0.0437151596300073
"DE",1999-01-01,0.0422417665683436
"DK",1999-01-01,0.0511144044401826
"ES",1999-01-01,0.126872940383258
"FI",1999-01-01,0.0375314623866237
"FR",1999-01-01,0.045160750556945
"GB",1999-01-01,NA
"GR",1999-01-01,0.102659027963906
"HU",1999-01-01,0.167721002051643
"IE",1999-01-01,0.216085566652254
"IN",1999-01-01,0.171341274593736
"IT",1999-01-01,NA
"JP",1999-01-01,0.0211160581541231
"KR",1999-01-01,0.0118722983863863
"LU",1999-01-01,NA
"MX",1999-01-01,0.043253960180042
"NL",1999-01-01,0.075803127938467
"NO",1999-01-01,0.0889371527507779
"NZ",1999-01-01,0.0641077786259117
"PL",1999-01-01,NA
"PT",1999-01-01,0.135490738139941
"SE",1999-01-01,NA
"US",1999-01-01,0.0477416271903299
"ZA",1999-01-01,0.062102738402951
"AT",1999-04-01,0.10254293442249
"AU",1999-04-01,0.0652369889526861
"BE",1999-04-01,0.0429400801834229
"BR",1999-04-01,0.040715436212917
"CA",1999-04-01,0.0246315250509069
"CH",1999-04-01,0.0418982141104242
"CL",1999-04-01,0.102767866409865
"CN",1999-04-01,0.206690053687239
"CO",1999-04-01,0.15022464012175
"CZ",1999-04-01,-0.0134925283810042
"DE",1999-04-01,0.0440676049938624
"DK",1999-04-01,0.0545575360692058
"ES",1999-04-01,0.124417660742416
"FI",1999-04-01,0.0426310444192838
"FR",1999-04-01,0.0437036415493496
"GB",1999-04-01,0.0696910540976164
"GR",1999-04-01,0.119369999287081
"HU",1999-04-01,0.182430843668007
"IE",1999-04-01,0.213539575493205
"IN",1999-04-01,0.164061163898879
"IT",1999-04-01,0.0461202070321261
"JP",1999-04-01,0.0233391469893982
"KR",1999-04-01,0.000916750120718273
"LU",1999-04-01,0.0889848812095033
"MX",1999-04-01,0.0457769335654631
"NL",1999-04-01,0.0673452915360615
"NO",1999-04-01,0.106902769218885
"NZ",1999-04-01,0.0841317481539835
"PL",1999-04-01,0.172478594510788
"PT",1999-04-01,0.155738013634138
"SE",1999-04-01,0.0146972364060769
"US",1999-04-01,0.0579396728855989
"ZA",1999-04-01,0.0513206872268363
"AT",1999-07-01,0.109253439670426
"AU",1999-07-01,0.0971345497450592
"BE",1999-07-01,0.0519248706257784
"BR",1999-07-01,0.127207190644172
"CA",1999-07-01,0.0356129110231158
"CH",1999-07-01,0.0203041703641332
"CL",1999-07-01,0.096280301894337
"CN",1999-07-01,0.174663211446204
"CO",1999-07-01,0.150669429050949
"CZ",1999-07-01,-0.00807954175359964
"DE",1999-07-01,0.046889323388513
"DK",1999-07-01,0.0407197575726547
"ES",1999-07-01,0.123781393079247
"FI",1999-07-01,0.0324328024014159
"FR",1999-07-01,0.0531465698799902
"GB",1999-07-01,0.0855070551070552
"GR",1999-07-01,0.15749886238925
"HU",1999-07-01,0.167843659461785
"IE",1999-07-01,0.168839806656394
"IN",1999-07-01,0.17082849569229
"IT",1999-07-01,0.0407623299106471
"JP",1999-07-01,0.0161063676494268
"KR",1999-07-01,0.0305768152165828
"LU",1999-07-01,0.0735330615139159
"MX",1999-07-01,0.0658224480129919
"NL",1999-07-01,0.0667457259673464
"NO",1999-07-01,0.119837313606459
"NZ",1999-07-01,0.0969135100907601
"PL",1999-07-01,0.217257389403153
"PT",1999-07-01,0.127599597953216
"SE",1999-07-01,0.0183437287663119
"US",1999-07-01,0.0604869200874747
"ZA",1999-07-01,0.0428817223276128
"AT",1999-10-01,0.12197436255423
"AU",1999-10-01,0.0930485039412495
"BE",1999-10-01,0.0600719231049023
"BR",1999-10-01,0.109188031951089
"CA",1999-10-01,0.0392051670012699
"CH",1999-10-01,0.0191793774275006
"CL",1999-10-01,0.110673797210374
"CN",1999-10-01,0.169934665274168
"CO",1999-10-01,0.127675792421945
"CZ",1999-10-01,0.016448292545886
"DE",1999-10-01,0.0434454866709982
"DK",1999-10-01,0.0787093381355854
"ES",1999-10-01,0.153951236330507
