"ID","reference_area","date","HPIndex","HPIndex_log","HPIndex_HPtrend","HPIndex_HPcycle"
"1","JP","Japan",1955-01-01,12.6625,253.86448695748,249.835435786662,4.02905117081808
"2","JP","Japan",1955-04-01,13.0947,257.22075681898,254.868888797916,2.35186802106453
"3","JP","Japan",1955-07-01,13.509,260.335612998754,259.904859966151,0.430753032603232
"4","JP","Japan",1955-10-01,14.1134,264.712470069302,264.947337365863,-0.234867296561606
"5","JP","Japan",1956-01-01,14.5879,268.019241797366,270.000578292193,-1.98133649482606
"6","JP","Japan",1956-04-01,15.2501,272.458606040897,275.068693248219,-2.61008720732162
"7","JP","Japan",1956-07-01,16.106,277.919187337335,280.154554401712,-2.23536706437704
"8","JP","Japan",1956-10-01,17.1175,284.010133201308,285.25940261594,-1.24926941463175
"9","JP","Japan",1957-01-01,17.9545,288.784077989403,290.383081649752,-1.59900366034873
"10","JP","Japan",1957-04-01,18.692,292.809562483818,295.524654468615,-2.71509198479727
"11","JP","Japan",1957-07-01,19.3889,296.4700737372,300.682184660709,-4.21211092350882
"12","JP","Japan",1957-10-01,20.7359,303.186649762737,305.852038881721,-2.66538911898431
"13","JP","Japan",1958-01-01,22.077,309.453634261257,311.027951218014,-1.57431695675699
"14","JP","Japan",1958-04-01,23.3128,314.900256595394,316.201989887749,-1.30173329235489
"15","JP","Japan",1958-07-01,24.4646,319.722717471983,321.36523916099,-1.64252168900696
"16","JP","Japan",1958-10-01,25.7054,324.670108656126,326.507969724493,-1.8378610683672
"17","JP","Japan",1959-01-01,27.1387,330.096075348057,331.61942568896,-1.52335034090311
"18","JP","Japan",1959-04-01,28.5884,335.300104114455,336.687702501922,-1.38759838746683
"19","JP","Japan",1959-07-01,29.9317,339.891811944972,341.69994351695,-1.80813157197812
"20","JP","Japan",1959-10-01,31.1929,344.019050481623,346.642424838622,-2.62337435699866
"21","JP","Japan",1960-01-01,32.2073,347.21931349305,351.500292489282,-4.28097899623188
"22","JP","Japan",1960-04-01,34.3202,353.573410210861,356.257052882303,-2.68364267144223
"23","JP","Japan",1960-07-01,36.5231,359.794493711876,360.893536819184,-1.09904310730773
"24","JP","Japan",1960-10-01,39.9261,368.70302453809,365.388897824755,3.31412671333493
"25","JP","Japan",1961-01-01,42.6336,375.264267478376,369.721602521903,5.54266495647249
"26","JP","Japan",1961-04-01,45.6751,382.155329164317,373.872188862712,8.28314030160486
"27","JP","Japan",1961-07-01,48.0695,387.264788035396,377.824658964864,9.44012907053149
"28","JP","Japan",1961-10-01,48.5969,388.35597428638,381.568191908728,6.78778237765219
"29","JP","Japan",1962-01-01,50.333,391.866092560833,385.097866855343,6.76822570548965
"30","JP","Japan",1962-04-01,51.5219,394.200695999808,388.413005329735,5.78769067007303
"31","JP","Japan",1962-07-01,53.0174,397.062016155964,391.517158997993,5.54485715797122
"32","JP","Japan",1962-10-01,54.4114,399.657369073104,394.417496832878,5.23987224022657
"33","JP","Japan",1963-01-01,53.827,398.577520001482,397.124653342873,1.45286665860951
"34","JP","Japan",1963-04-01,54.8186,400.402955242376,399.652537956611,0.750417285765614
"35","JP","Japan",1963-07-01,56.2844,403.041740971619,402.015968144388,1.02577282723106
"36","JP","Japan",1963-10-01,57.5276,405.226483264016,404.230230387303,0.996252876712833
"37","JP","Japan",1964-01-01,59.326,408.30476584798,406.311252274471,1.99351357350959
"38","JP","Japan",1964-04-01,60.556,410.356855674963,408.275584053056,2.08127162190741
"39","JP","Japan",1964-07-01,62.0947,412.866063908146,410.141021916205,2.72504199194051
"40","JP","Japan",1964-10-01,62.7743,413.954575404559,411.92666285183,2.02791255272988
"41","JP","Japan",1965-01-01,63.7586,415.510407690087,413.653306999085,1.8571006910019
"42","JP","Japan",1965-04-01,63.2761,414.750769071311,415.343021942473,-0.592252871161589
"43","JP","Japan",1965-07-01,64.0474,415.962343423232,417.019035954426,-1.05669253119401
"44","JP","Japan",1965-10-01,63.9489,415.808432693868,418.704207149333,-2.89577445546513
"45","JP","Japan",1966-01-01,64.0146,415.911118234312,420.420733208751,-4.50961497443938
"46","JP","Japan",1966-04-01,64.4923,416.654583683042,422.189001955203,-5.5344182721601
"47","JP","Japan",1966-07-01,65.6969,418.505174020688,424.02658270185,-5.52140868116131
"48","JP","Japan",1966-10-01,66.7771,420.136020739706,425.947585750436,-5.81156501072944
"49","JP","Japan",1967-01-01,67.3439,420.981232711383,427.962670522278,-6.98143781089453
"50","JP","Japan",1967-04-01,70.0719,424.952185775622,430.078864210561,-5.1266784349393
