"ID","borrowers_country","cg_dtype","Credit","date","obs_value"
"1","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1963-01-01,55.4
"2","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1963-04-01,54.7
"3","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1963-07-01,53.9
"4","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1963-10-01,52.7
"5","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1964-01-01,60
"6","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1964-04-01,58.7
"7","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1964-07-01,57.5
"8","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1964-10-01,56.2
"9","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1965-01-01,62.8
"10","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1965-04-01,61.7
"11","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1965-07-01,60.4
"12","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1965-10-01,59.4
"13","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1966-01-01,58.5
"14","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1966-04-01,57.4
"15","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1966-07-01,63.5
"16","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1966-10-01,62.4
"17","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1967-01-01,61.3
"18","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1967-04-01,60.4
"19","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1967-07-01,63.4
"20","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1967-10-01,62.8
"21","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1968-01-01,61.6
"22","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1968-04-01,64.2
"23","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1968-07-01,62.6
"24","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1968-10-01,60.7
"25","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1969-01-01,59.5
"26","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1969-04-01,61.7
"27","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1969-07-01,60.5
"28","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1969-10-01,59.4
"29","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1970-01-01,58
"30","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1970-04-01,59.4
"31","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1970-07-01,57.6
"32","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1970-10-01,58.6
"33","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1971-01-01,56.9
"34","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1971-04-01,55.3
"35","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1971-07-01,56.2
"36","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1971-10-01,57.2
"37","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1972-01-01,60.6
"38","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1972-04-01,61.3
"39","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1972-07-01,64.8
"40","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1972-10-01,65.1
"41","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1973-01-01,64.3
"42","GB","United Kingdom","C","Credit-to-GDP gaps (actual-trend)",1973-01-01,2.8
"43","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1973-04-01,66.4
"44","GB","United Kingdom","C","Credit-to-GDP gaps (actual-trend)",1973-04-01,4.3
"45","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1973-07-01,66
"46","GB","United Kingdom","C","Credit-to-GDP gaps (actual-trend)",1973-07-01,3.5
"47","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1973-10-01,64
"48","GB","United Kingdom","C","Credit-to-GDP gaps (actual-trend)",1973-10-01,1.2
"49","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1974-01-01,65.1
"50","GB","United Kingdom","C","Credit-to-GDP gaps (actual-trend)",1974-01-01,2
"51","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1974-04-01,65
"52","GB","United Kingdom","C","Credit-to-GDP gaps (actual-trend)",1974-04-01,1.6
"53","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1974-07-01,64.2
"54","GB","United Kingdom","C","Credit-to-GDP gaps (actual-trend)",1974-07-01,0.6
"55","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1974-10-01,61.4
"56","GB","United Kingdom","C","Credit-to-GDP gaps (actual-trend)",1974-10-01,-2.1
"57","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1975-01-01,59.6
"58","GB","United Kingdom","C","Credit-to-GDP gaps (actual-trend)",1975-01-01,-3.7
"59","GB","United Kingdom","A","Credit-to-GDP ratios (actual data)",1975-04-01,59.4
